Incident_Nr,TimeReported,Activity,Disposition,Location
1.9E+11,11/1/19 9:15,Criminal Mischief,Report,1951 Hunter Rd
1.9E+11,11/1/19 10:31,Trespassing/Unwanted,Warning,301 W Hopkins St
1.9E+11,11/1/19 11:00,Assault,Report,2300 S IH 35
1.9E+11,11/1/19 12:15,Accident - Minor,Blue Form Issue,600 Wonder World Dr
1.9E+11,11/1/19 12:18,911 Abon/Misdial/Open,TDD Challenged,137253 S SECTOR - VERIZON WIRELESSN WIRE
1.9E+11,11/1/19 12:29,Assault,Info. Report,1354 Thorpe Ln
1.9E+11,11/1/19 12:48,Accident - Minor,Blue Form Issue,E Hopkins St/W Access Rd
1.9E+11,11/1/19 12:58,Accident - Hit and Run,Blue Form Issue,1415 Craddock Ave
1.9E+11,11/1/19 14:04,Accident - Major/Injury,Report,Aquarena Springs Dr/West Ave
1.9E+11,11/1/19 14:59,Robbery,Report,3939 S IH 35
1.9E+11,11/1/19 15:01,Accident - Major/Injury,Report,Wonder World Dr/Leah Ave
1.9E+11,11/1/19 15:43,Accident - Minor,Blue Form Issue,700 Barnes Dr
1.9E+11,11/1/19 16:07,Theft,Refer To COPR,2300 S IH 35
1.9E+11,11/1/19 17:25,Disturbance - Phys/Fight,Arrest,1900 Aquarena Springs Dr
1.9E+11,11/1/19 17:46,Theft,Refer To COPR,345 Champions Blvd
1.9E+11,11/1/19 17:48,911 Abon/Misdial/Open,TDD Challenged,4023 SE SECTOR - AT&T MOBILITYMOBILITY
1.9E+11,11/1/19 18:48,Burglary - Vehicle,Report,1050 McKinley Place Dr
1.9E+11,11/1/19 20:04,Accident - Minor,Blue Form Issue,1015 Hwy 80
1.9E+11,11/1/19 20:24,Criminal Mischief,Report,525 Lookout Ridge Lp
1.9E+11,11/1/19 20:28,Theft,Report,1635 Aquarena Springs Dr
1.9E+11,11/1/19 23:25,Disturbance - Noise,Verbal Warning,1655 Mill St
1.9E+11,11/1/19 23:39,Public Intoxication,Arrest,100 W Hopkins St
1.9E+11,11/2/19 0:12,Theft,Verbal Warning,100 W Hopkins St
1.9E+11,11/2/19 0:37,Disturbance - Noise,Verbal Warning,1518 Old Ranch Road 12
1.9E+11,11/2/19 0:51,Unknown Problem,Report,1360 Thorpe Ln
1.9E+11,11/2/19 1:38,Disturbance - Verbal,Verbal Warning,1101 E River Ridge Pkwy
1.9E+11,11/2/19 2:16,Disturbance - Noise,Verbal Warning,1415 Craddock Ave
1.9E+11,11/2/19 2:42,Investigation,Verbal Warning,W San Antonio St/Guadalupe St
1.9E+11,11/2/19 3:00,Trespassing/Unwanted,Arrest,1111 Avalon Ave
1.9E+11,11/2/19 3:12,Accident - Hit and Run,Report,900 Hwy 80
1.9E+11,11/2/19 3:22,Public Intoxication,Ref oth Agncy,3107 Hwy 21
1.9E+11,11/2/19 4:35,Disturbance - Phys/Fight,Arrest,Pecan St/Crepe Myrtle Dr
1.9E+11,11/2/19 5:18,Attempt to Locate,Verbal Warning,921 N IH 35
1.9E+11,11/2/19 7:13,Disturbance - Noise,Verbal Warning,333 Stagecoach Trl
1.9E+11,11/2/19 8:40,Accident - Major/Injury,Report,E Access Rd/Hwy 80
1.9E+11,11/2/19 10:34,911 Abon/Misdial/Open,TDD Challenged,2167 SW SECTOR - AT&T MOBILITYMOBILITY
1.9E+11,11/2/19 10:45,911 Abon/Misdial/Open,TDD Challenged,101 UHLAND - E
1.9E+11,11/2/19 11:31,911 Abon/Misdial/Open,TDD Challenged,222 CHARLES AUSTIN DR - SECTOR NE- SECTO
1.9E+11,11/2/19 11:55,Burglary - Habitation,Report,915 Sycamore St
1.9E+11,11/2/19 12:33,Disturbance - Phys/Fight,Arrest,213 Ramsay St
1.9E+11,11/2/19 13:51,Investigation,Verbal Warning,201 S LBJ Dr
1.9E+11,11/2/19 14:52,Disturbance - Verbal,Warning,1113 N IH 35
1.9E+11,11/2/19 15:48,Accident - Hit and Run,Report,900 N IH 35
1.9E+11,11/2/19 16:13,Criminal Mischief,Report,1023 Hwy 80
1.9E+11,11/2/19 16:32,Controlled Substance,Arrest,641 E Hopkins St
1.9E+11,11/2/19 16:38,Accident - Unknown,Report,201 NB
1.9E+11,11/2/19 16:56,Accident - Minor,Blue Form Issue,1354 Thorpe Ln
1.9E+11,11/2/19 17:07,Welfare Concern,Arrest,207 E Hutchison St
1.9E+11,11/2/19 17:35,Accident - Minor,Report,205 SB
1.9E+11,11/2/19 19:34,Accident - Minor,Arrest,W Access Rd/Black Pipe
1.9E+11,11/2/19 20:07,Disturbance - Phys/Fight,Multiple Arrest,900 Bugg Ln
1.9E+11,11/2/19 20:18,Police Incoming Call,Ref oth Agncy,1370 Morningwood Dr
1.9E+11,11/2/19 21:10,Accident - Minor,Report,200 SB
1.9E+11,11/2/19 21:28,Accident - Minor,Fire Call,199 SB
1.9E+11,11/2/19 21:28,Disturbance - Noise,Verbal Warning,1016 W San Antonio St
1.9E+11,11/2/19 22:44,Disturbance - Noise,Verbal Warning,1951 Aquarena Springs Dr
1.9E+11,11/2/19 23:46,Disturbance - Noise,Verbal Warning,301 Telluride St
1.9E+11,11/3/19 0:04,Disturbance - Noise,Verbal Warning,301 Telluride St
1.9E+11,11/3/19 0:42,Suspicious Person,Arrest,1415 Craddock Ave
1.9E+11,11/3/19 0:56,Accident - Major/Injury,Arrest,E Access Rd/Wonder World Dr
1.9E+11,11/3/19 1:03,Disturbance - Noise,Verbal Warning,139 E Hopkins St
1.9E+11,11/3/19 1:21,Sexual Assault - Agg,Report,1354 Thorpe Ln
1.9E+11,11/3/19 1:39,Viol County Ordinance,Arrest,100blk E San Antonio St
1.9E+11,11/3/19 3:07,Welfare Concern,Arrest,1105 N IH 35
1.9E+11,11/3/19 5:39,Public Intoxication,Ref oth Agncy,1301 Wonder World Dr
1.9E+11,11/3/19 7:07,Assault,Report,2300 S IH 35
1.9E+11,11/3/19 9:21,Viol City Ordinance,Verbal Warning,555 Cheatham St
1.9E+11,11/3/19 10:19,Disturbance - Verbal,Arrest,811 S Guadalupe St
1.9E+11,11/3/19 10:27,Burglary - Vehicle,Refer To COPR,1101 Leah Ave
1.9E+11,11/3/19 10:32,Criminal Mischief,Refer To COPR,173 Tallow Trl
1.9E+11,11/3/19 10:36,Accident - Minor,Report,210 NB
1.9E+11,11/3/19 11:54,Accident - Minor,Report,1000blk Wonder World Dr
1.9E+11,11/3/19 12:47,Forgery,Report,3939 S IH 35
1.9E+11,11/3/19 14:40,Accident - Minor,Blue Form Issue,206 NB
1.9E+11,11/3/19 15:19,Accident - Unknown,Report,201 NB
1.9E+11,11/3/19 15:28,Accident - Unknown,Blue Form Issue,199 NB
1.9E+11,11/3/19 15:32,Accident - Minor,Blue Form Issue,4331 S IH 35
1.9E+11,11/3/19 15:33,Attempt to Locate,Blue Form Issue,210 NB
1.9E+11,11/3/19 16:12,Information,Ref oth Agncy,2300 S IH 35
1.9E+11,11/3/19 16:21,Accident - Unknown,Report,W Hopkins St/N Comanche St
1.9E+11,11/3/19 16:27,Narcotics/Information,Report,1354 Thorpe Ln
1.9E+11,11/3/19 17:06,Accident - Major/Injury,Report,206 SB
1.9E+11,11/3/19 19:04,Accident - Minor,Blue Form Issue,Hwy 80/River Rd
1.9E+11,11/3/19 19:32,Mental Health Invest,Ref oth Agncy,1301 Wonder World Dr
1.9E+11,11/3/19 21:24,Disturbance - Verbal,Arrest,1800 Post Rd
1.9E+11,11/3/19 22:23,Assault,Report,409 Durango St
1.9E+11,11/3/19 22:32,Disturbance - Noise,Verbal Warning,200 Springtown Way
1.9E+11,11/3/19 23:17,Disturbance - Phys/Fight,Report,1015 Hwy 80
1.9E+11,11/4/19 4:43,Accident - Hit and Run,Report,1803 River Rd
1.9E+11,11/4/19 6:03,911 Abon/Misdial/Open,TDD Challenged,1735 Clovis Barker Rd
1.9E+11,11/4/19 10:38,Solicitors,Citation Issued,Hwy 123/E Access Rd
1.9E+11,11/4/19 10:39,Viol City Ordinance,Warning,627 E Hopkins St
1.9E+11,11/4/19 11:42,Mental Health Invest,Report,1200 N Bishop St
1.9E+11,11/4/19 11:56,Viol City Ordinance,Verbal Warning,1015 Hwy 80
1.9E+11,11/4/19 12:41,Accident - Major/Injury,Report,Hunter Rd/E McCarty Ln
1.9E+11,11/4/19 13:14,Foot Patrol,Citation Issued,915 Chestnut St
1.9E+11,11/4/19 13:33,Theft,Citation Issued,4015 S IH 35
1.9E+11,11/4/19 17:28,Narcotics/Information,Report,112 N LBJ Dr
1.9E+11,11/4/19 18:04,Robbery - Agg,Report,705 River Rd
1.9E+11,11/4/19 18:34,Suicidal Person,Report,133 Flatland Trl
1.9E+11,11/4/19 19:27,Accident - Minor,Report,1011 Hwy 80
1.9E+11,11/4/19 19:33,Forgery,Report,3939 S IH 35
1.9E+11,11/4/19 20:00,Disturbance - Phys/Fight,Report,755 River Rd
1.9E+11,11/4/19 20:13,Theft,Citation Issued,1015 Hwy 80
1.9E+11,11/4/19 22:22,911 Abon/Misdial/Open,TDD Challenged,101 UHLAND - E
1.9E+11,11/4/19 22:24,Disturbance - Phys/Fight,Arrest,1716 Hofheinz St
1.9E+11,11/4/19 22:53,Suicidal Person,Report,237 Braeden Brooke Dr
1.9E+11,11/4/19 23:50,Suicidal Person,Report,1401 E McCarty Ln
1.9E+11,11/5/19 0:18,Disturbance - Noise,Cond Citation,1101 E River Ridge Pkwy
1.9E+11,11/5/19 0:48,Burglary - Habitation,Arrest,129 N Johnson Ave
1.9E+11,11/5/19 1:03,Criminal Mischief,Arrest,1304 Conway Dr
1.9E+11,11/5/19 1:32,Burglary - Vehicle,Refer To COPR,1108 Conway Dr
1.9E+11,11/5/19 5:09,911 Abon/Misdial/Open,Ref oth Agncy,1220 CRYSTAL RIVER PKWY - SECTOR SEY - S
1.9E+11,11/5/19 6:20,Disturbance - Phys/Fight,Arrest,153 Coers Dr
1.9E+11,11/5/19 6:26,Accident - Major/Injury,Report,Centerpoint Rd/W Access Rd
1.9E+11,11/5/19 7:59,Vehicle Theft,Report,1303 Uhland Rd
1.9E+11,11/5/19 9:23,Viol City Ordinance,Verbal Warning,170 Charles Austin Dr
1.9E+11,11/5/19 9:41,Assault,Detention Juv,1301 Hwy 123
1.9E+11,11/5/19 10:00,Viol City Ordinance,Verbal Warning,320 Mariposa St
1.9E+11,11/5/19 10:16,Suspicious Vehicle,Multiple Arrest,1800 Post Rd
1.9E+11,11/5/19 10:32,911 Abon/Misdial/Open,TDD Challenged,AXL06091 SW SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/5/19 11:45,Theft,Report,2300 S IH 35
1.9E+11,11/5/19 11:52,Trespassing/Unwanted,Citation Issued,1021 Hwy 80
1.9E+11,11/5/19 12:53,911 Abon/Misdial/Open,TDD Challenged,226 WONDER WORLD - E
1.9E+11,11/5/19 12:55,Accident - Hit and Run,Blue Form Issue,2211 S IH 35
1.9E+11,11/5/19 14:07,Burglary - Vehicle,Refer To COPR,2300 S IH 35
1.9E+11,11/5/19 14:07,Mental Health Transport,Ref oth Agncy,1301 Wonder World Dr
1.9E+11,11/5/19 14:11,Fraud,Report,2300 S IH 35
1.9E+11,11/5/19 14:37,Threat,Report,2951 Blanco Vista Blvd
1.9E+11,11/5/19 14:38,911 Abon/Misdial/Open,Ref oth Agncy,AXL04087 NE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/5/19 14:49,Burglary - Vehicle,Refer To COPR,710 Allen St
1.9E+11,11/5/19 14:52,911 Abon/Misdial/Open,TDD Challenged,AXL00087 NE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/5/19 14:53,Accident - Major/Injury,Report,201 Telluride St
1.9E+11,11/5/19 14:59,Police Incoming Call,Refer To COPR,210 N Edward Gary St
1.9E+11,11/5/19 15:46,Theft,Report,3939 S IH 35
1.9E+11,11/5/19 16:09,Accident - Minor,Blue Form Issue,1015 Hwy 80
1.9E+11,11/5/19 16:12,Police Incoming Call,Refer To COPR,2300 S IH 35
1.9E+11,11/5/19 16:34,Disturbance - Verbal,Arrest,518 Linda Dr
1.9E+11,11/5/19 17:11,911 Abon/Misdial/Open,TDD Challenged,AXL01167 N SECTOR - AT&T MOBILITYOBILITY
1.9E+11,11/5/19 17:54,Wanted Person,Arrest,518 Linda Dr
1.9E+11,11/5/19 18:07,Trespassing/Unwanted,Warning,300 S Stagecoach Trl
1.9E+11,11/5/19 20:00,Theft,Report,4015 S IH 35
1.9E+11,11/5/19 20:20,Attempt to Locate,Ref oth Agncy,202 SB
1.9E+11,11/5/19 21:19,Suicidal Person,Report,4440 S Old Stagecoach Rd
1.9E+11,11/5/19 21:58,Disturbance - Noise,Verbal Warning,800 N LBJ Dr
1.9E+11,11/5/19 22:34,Disturbance - Noise,Verbal Warning,705 River Rd
1.9E+11,11/5/19 23:07,911 Abon/Misdial/Open,TDD Challenged,1305 RIVER - NW
1.9E+11,11/5/19 23:16,Disturbance - Noise,Verbal Warning,1701 Mill St
1.9E+11,11/5/19 23:41,Burglary - Vehicle,Report,1415 Craddock Ave
1.9E+11,11/6/19 0:04,Attempt to Locate,Verbal Warning,207 SB
1.9E+11,11/6/19 1:53,Assault - Aggravated,Arrest,126 S Guadalupe St
1.9E+11,11/6/19 2:44,Public Intoxication,Arrest,126 S Guadalupe St
1.9E+11,11/6/19 4:21,Disturbance - Phys/Fight,Citation Issued,705 River Rd
1.9E+11,11/6/19 7:03,911 Abon/Misdial/Open,TDD Challenged,#NAME?
1.9E+11,11/6/19 7:39,Animal Call,Ref oth Agncy,1300 Girard Ave
1.9E+11,11/6/19 7:39,Welfare Concern,Report,1309 W Hopkins St
1.9E+11,11/6/19 8:07,Welfare Concern,Arrest,2211 S IH 35
1.9E+11,11/6/19 9:22,Suspicious Person,Citation Issued,625 E Hopkins St
1.9E+11,11/6/19 9:28,Accident - Minor,Report,Wonder World Dr/W Access Rd
1.9E+11,11/6/19 9:29,911 Abon/Misdial/Open,TDD Challenged,2911 HUNTER RD - SECTOR SWR SW
1.9E+11,11/6/19 10:25,Disturbance - Verbal,Report,Third St/Seguin St
1.9E+11,11/6/19 10:35,911 Abon/Misdial/Open,TDD Challenged,AXL00903 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/6/19 11:05,Welfare Concern,Report,811 S Guadalupe St
1.9E+11,11/6/19 12:01,Criminal Mischief,Refer To COPR,1415 Craddock Ave
1.9E+11,11/6/19 12:39,Burglary - Vehicle,Report,433 Bridlewood Dr
1.9E+11,11/6/19 12:41,911 Abon/Misdial/Open,TDD Challenged,3936 S IH 35
1.9E+11,11/6/19 14:49,Theft,Multiple Arrest,4015 S IH 35
1.9E+11,11/6/19 15:09,Assault,Citation Issued,1004 Hwy 123
1.9E+11,11/6/19 15:09,911 Abon/Misdial/Open,TDD Challenged,137933 NE SECTOR - VERIZON WIRELESSON WI
1.9E+11,11/6/19 15:35,Accident - Minor,Blue Form Issue,1081 Wonder World Dr
1.9E+11,11/6/19 16:14,Viol City Ordinance,Verbal Warning,555 Cheatham St
1.9E+11,11/6/19 16:41,Burglary - Vehicle,Report,555 Cheatham St
1.9E+11,11/6/19 18:04,Welfare Concern,Arrest,209 SB
1.9E+11,11/6/19 18:34,911 Abon/Misdial/Open,TDD Challenged,101 UHLAND - E
1.9E+11,11/6/19 18:55,Trespassing/Unwanted,Warning,1340 Wonder World Dr
1.9E+11,11/6/19 19:34,Suspicious Person,Arrest,419 Linda Dr
1.9E+11,11/6/19 21:01,Accident - Minor,Blue Form Issue,3939 S IH 35
1.9E+11,11/6/19 23:15,Police Incoming Call,Ref oth Agncy,2300 S IH 35
1.9E+11,11/6/19 23:48,Discharged Firearm,Report,301 Telluride St
1.9E+11,11/7/19 0:05,911 Abon/Misdial/Open,TDD Challenged,126 N LBJ Dr
1.9E+11,11/7/19 2:11,Public Intoxication,Arrest,N Guadalupe St/W Hopkins St
1.9E+11,11/7/19 7:49,Accident - Hit and Run,Blue Form Issue,300blk N Edward Gary St
1.9E+11,11/7/19 7:53,Accident - Minor,Blue Form Issue,1004 Hwy 123
1.9E+11,11/7/19 8:04,Accident - Unknown,Report,Wonder World Dr/W Access Rd
1.9E+11,11/7/19 8:05,Accident - Fleet,Report,100 Carlson Cir
1.9E+11,11/7/19 8:22,911 Abon/Misdial/Open,TDD Challenged,1300 RIVER RD - SECTOR SWSW
1.9E+11,11/7/19 9:30,Accident - Minor,Blue Form Issue,W Sessom Dr/Academy St
1.9E+11,11/7/19 10:58,Disturbance - Verbal,Arrest,1011 Wonder World Dr
1.9E+11,11/7/19 11:04,Sexual Assault,Report,2300 S IH 35
1.9E+11,11/7/19 11:22,Disorderly Conduct,Citation Issued,2601 Rattler Rd
1.9E+11,11/7/19 11:35,Discharged Firearm,Arrest,1629 Post Rd
1.9E+11,11/7/19 12:55,911 Abon/Misdial/Open,TDD Challenged,AXL06198 W SECTOR - AT&T MOBILITYOBILITY
1.9E+11,11/7/19 13:55,Theft,Report,3939 S IH 35
1.9E+11,11/7/19 15:00,Accident - Unknown,Blue Form Issue,Aquarena Springs Dr/Charles Austin St
1.9E+11,11/7/19 16:13,Theft,Citation Issued,230 N LBJ Dr
1.9E+11,11/7/19 16:42,Accident - Major/Injury,Report,1050 McKinley Place Dr
1.9E+11,11/7/19 16:57,Suicidal Person,Report,1301 Wonder World Dr
1.9E+11,11/7/19 17:06,Welfare Concern,Ref oth Agncy,752 Clearview Cir
1.9E+11,11/7/19 17:07,911 Abon/Misdial/Open,Ref oth Agncy,AXL05065 SW SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/7/19 17:29,Suspicious Circumstances,Arrest,201 Telluride St
1.9E+11,11/7/19 17:37,Accident - Hit and Run,Blue Form Issue,2207 S IH 35
1.9E+11,11/7/19 17:54,Accident - Minor,Report,1429 N IH 35
1.9E+11,11/7/19 18:07,Accident - Unknown,Report,N Comanche St/Sessom Dr
1.9E+11,11/7/19 18:20,Police Incoming Call,Blue Form Issue,202 SB
1.9E+11,11/7/19 19:52,Accident - Minor,Blue Form Issue,1600blk Aquarena Springs Dr
1.9E+11,11/7/19 20:15,Burglary - Vehicle,Report,1400 Clarewood Dr
1.9E+11,11/7/19 20:41,Disturbance - Noise,Verbal Warning,225 Ramsay St
1.9E+11,11/7/19 22:10,Disturbance - Noise,Verbal Warning,200 Springtown Way
1.9E+11,11/7/19 23:02,Disturbance - Noise,Verbal Warning,1354 Thorpe Ln
1.9E+11,11/7/19 23:05,Welfare Concern,Arrest,Charles Austin Dr/Aquarena Springs Dr
1.9E+11,11/8/19 1:23,Attempt to Locate,Ref oth Agncy,208 SB
1.9E+11,11/8/19 1:29,Accident - Minor,Report,Hwy 123/E Access Rd
1.9E+11,11/8/19 3:12,Disturbance - Noise,Citation Issued,1610 N IH 35
1.9E+11,11/8/19 6:21,911 Abon/Misdial/Open,TDD Challenged,228 SESSOM - SE
1.9E+11,11/8/19 6:36,911 Abon/Misdial/Open,TDD Challenged,AXL01167 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/8/19 7:38,Disturbance - Verbal,Warning,1001 E McCarty Ln
1.9E+11,11/8/19 8:08,911 Abon/Misdial/Open,Ref oth Agncy,228 W SESSOM DR - SW
1.9E+11,11/8/19 10:02,Mental Health Invest,Report,1106 N IH 35
1.9E+11,11/8/19 12:03,Theft,Report,201 Springtown Way
1.9E+11,11/8/19 12:04,Accident - Minor,Report,Thorpe Ln/Jackson Ln
1.9E+11,11/8/19 12:35,911 Abon/Misdial/Open,TDD Challenged,4023 Second St
1.9E+11,11/8/19 14:18,Harassment,Refer To COPR,2300 S IH 35
1.9E+11,11/8/19 14:41,Accident - Unknown,Report,100blk S Guadalupe St
1.9E+11,11/8/19 14:52,Wanted Person,Multiple Arrest,1735 Ash St
1.9E+11,11/8/19 15:12,Accident - Minor,Blue Form Issue,1647 Post Rd
1.9E+11,11/8/19 16:16,Disturbance - Phys/Fight,Detention Juv,2601 Rattler Rd
1.9E+11,11/8/19 16:18,911 Abon/Misdial/Open,TDD Challenged,AXL01167 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/8/19 16:22,Trespassing/Unwanted,Warning,1304 Hwy 123
1.9E+11,11/8/19 16:31,Fraud,Report,2300 S IH 35
1.9E+11,11/8/19 16:34,911 Abon/Misdial/Open,TDD Challenged,226 WONDER WORLD - E
1.9E+11,11/8/19 16:49,Accident - Unknown,Report,204 NB
1.9E+11,11/8/19 16:56,911 Abon/Misdial/Open,TDD Challenged,101 UHLAND - E
1.9E+11,11/8/19 17:06,Accident - Unknown,Arrest,Clovis Barker Rd/E Access Rd
1.9E+11,11/8/19 17:57,Accident - Minor,Report,2800blk S IH 35
1.9E+11,11/8/19 18:18,Accident - Minor,Blue Form Issue,1001 E McCarty Ln
1.9E+11,11/8/19 18:18,Accident - Unknown,Blue Form Issue,1202 Hwy 123
1.9E+11,11/8/19 18:52,Unauth Use Vehicle,Report,109 Cypress Ct
1.9E+11,11/8/19 22:29,Disturbance - Phys/Fight,Report,1354 Thorpe Ln
1.9E+11,11/8/19 23:42,Disturbance - Noise,Verbal Warning,301 Telluride St
1.9E+11,11/8/19 23:46,Suspicious Vehicle,Verbal Warning,Cottonwood Pkwy/Calixto Ct
1.9E+11,11/9/19 0:01,Attempt to Locate,Citation Issued,204 SB
1.9E+11,11/9/19 0:47,Disturbance - Noise,Verbal Warning,1975 Aquarena Springs Dr
1.9E+11,11/9/19 0:53,Public Intoxication,Arrest,301 N Guadalupe St
1.9E+11,11/9/19 2:15,Pedestrian Stop,Arrest,100 N Guadalupe St
1.9E+11,11/9/19 3:33,Disturbance - Noise,Verbal Warning,333 Newberry Trl
1.9E+11,11/9/19 4:19,Welfare Concern,Arrest,641 E Hopkins St
1.9E+11,11/9/19 6:40,Harassment,Arrest,1307 Uhland Rd
1.9E+11,11/9/19 7:54,Disturbance - Phys/Fight,Report,1951 Aquarena Springs Dr
1.9E+11,11/9/19 8:46,Accident - Minor,Report,Wonder World Dr/E Access Rd
1.9E+11,11/9/19 11:03,Trespassing/Unwanted,Verbal Warning,641 E Hopkins St
1.9E+11,11/9/19 11:22,Suspicious Circumstances,Report,1301 Wonder World Dr
1.9E+11,11/9/19 11:52,911 Abon/Misdial/Open,TDD Challenged,226 WONDER WORLD - E
1.9E+11,11/9/19 12:45,Assist Outside Agency,Citation Issued,420 North St
1.9E+11,11/9/19 12:48,Burglary - Vehicle,Report,128 Dylan Dr
1.9E+11,11/9/19 13:27,Accident - Minor,Report,1901 N IH 35
1.9E+11,11/9/19 13:36,Accident - Minor,Blue Form Issue,1504 Aquarena Springs Dr
1.9E+11,11/9/19 13:37,Accident - Minor,Blue Form Issue,204 NB
1.9E+11,11/9/19 14:01,Disturbance - Noise,Citation Issued,119 Canyon Rd
1.9E+11,11/9/19 14:08,Theft,Report,915 Sycamore St
1.9E+11,11/9/19 14:18,Animal Call,Verbal Warning,1635 Aquarena Springs Dr
1.9E+11,11/9/19 14:21,Assault,Report,1610 N IH 35
1.9E+11,11/9/19 14:52,Disturbance - Noise,Verbal Warning,718 E Hopkins St
1.9E+11,11/9/19 15:09,Assault,Report,2300 S IH 35
1.9E+11,11/9/19 15:10,911 Abon/Misdial/Open,TDD Challenged,AXL04087 NE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/9/19 15:48,Police Incoming Call,Ref oth Agncy,2300 S IH 35
1.9E+11,11/9/19 15:56,Criminal Mischief,Refer To COPR,1415 Craddock Ave
1.9E+11,11/9/19 16:45,Accident - Hit and Run,Blue Form Issue,1502 S IH 35
1.9E+11,11/9/19 17:42,Directed/Area Enforcement,Verbal Warning,600 Columbia Ave
1.9E+11,11/9/19 18:28,911 Abon/Misdial/Open,TDD Challenged,1701 Mill St
1.9E+11,11/9/19 18:46,Police Incoming Call,Ref oth Agncy,Sadler Dr/Wonder World Dr
1.9E+11,11/9/19 18:59,Disturbance - Noise,Citation Issued,119 Canyon Rd
1.9E+11,11/9/19 19:30,Accident - Minor,Blue Form Issue,Aquarena Springs Dr/W Access Rd
1.9E+11,11/9/19 19:50,Theft,Citation Issued,3939 S IH 35
1.9E+11,11/9/19 21:38,Disturbance - Noise,Verbal Warning,1354 Thorpe Ln
1.9E+11,11/9/19 21:46,Disturbance - Noise,Verbal Warning,1250 Sadler Dr
1.9E+11,11/9/19 22:02,Disturbance - Noise,Verbal Warning,124 Mary Max Cir
1.9E+11,11/9/19 22:15,911 Abon/Misdial/Open,TDD Challenged,137248 SE SECTOR - VERIZON WIRELESSON WI
1.9E+11,11/9/19 22:55,Accident - Minor,Blue Form Issue,201 SB
1.9E+11,11/9/19 23:10,Disturbance - Noise,Citation Issued,1250 Sadler Dr
1.9E+11,11/9/19 23:16,Attempt to Locate,Ref oth Agncy,206 NB
1.9E+11,11/9/19 23:50,911 Abon/Misdial/Open,TDD Challenged,#NAME?
1.9E+11,11/10/19 0:34,Disturbance - Noise,Citation Issued,650 River Rd
1.9E+11,11/10/19 0:46,Disturbance - Noise,Verbal Warning,650 River Rd
1.9E+11,11/10/19 1:00,Disturbance - Phys/Fight,Arrest,650 E Hopkins St
1.9E+11,11/10/19 1:26,Disturbance - Verbal,Verbal Warning,1415 Craddock Ave
1.9E+11,11/10/19 1:32,Accident - Major/Injury,Blue Form Issue,205 NB
1.9E+11,11/10/19 1:33,Disturbance - Phys/Fight,Report,126 S Guadalupe St
1.9E+11,11/10/19 2:16,Disturbance - Noise,Multiple Arrest,1101 E River Ridge Pkwy
1.9E+11,11/10/19 2:22,911 Abon/Misdial/Open,TDD Challenged,4087 W SECTOR - AT&T MOBILITYOBILITY
1.9E+11,11/10/19 2:30,Suspicious Person,Arrest,1004 Hwy 123
1.9E+11,11/10/19 3:56,Disturbance - Noise,Verbal Warning,201 Telluride St
1.9E+11,11/10/19 4:20,Public Intoxication,Arrest,1004 Hwy 123
1.9E+11,11/10/19 8:10,Assault,Info. Report,158 Alhambra Dr
1.9E+11,11/10/19 8:17,Suspicious Circumstances,Multiple Arrest,420 Riverside Dr
1.9E+11,11/10/19 8:25,Property - Lost/Found/Imp,Refer To COPR,2300 S IH 35
1.9E+11,11/10/19 8:38,911 Abon/Misdial/Open,TDD Challenged,AXL00103 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,11/10/19 8:44,Accident - Major/Injury,Blue Form Issue,204 NB
1.9E+11,11/10/19 9:36,Threat,Refer To COPR,2001 Lancaster St
1.9E+11,11/10/19 10:15,Field Euthanasia,Ref oth Agncy,Lime Kiln Rd/Post Rd
1.9E+11,11/10/19 11:08,Accident - Minor,Report,927 Hwy 80
1.9E+11,11/10/19 12:03,Attempt to Locate,Ref oth Agncy,201 NB
1.9E+11,11/10/19 12:58,Trespassing/Unwanted,Citation Issued,904 Bugg Ln
1.9E+11,11/10/19 13:14,Fraud,Report,2041 S IH 35
1.9E+11,11/10/19 14:26,Property - Lost/Found/Imp,Report,898 Sagewood Trl
1.9E+11,11/10/19 14:57,Accident - Unknown,Report,204 NB
1.9E+11,11/10/19 15:55,Viol City Ordinance,Warning,1015 Hwy 80
1.9E+11,11/10/19 16:03,Theft,Report,641 E Hopkins St
1.9E+11,11/10/19 16:19,Accident - Major/Injury,Report,206 SB
1.9E+11,11/10/19 16:49,Accident - Major/Injury,Blue Form Issue,199 SB
1.9E+11,11/10/19 16:50,Flagged Down,Arrest,1400blk W Hopkins St
1.9E+11,11/10/19 19:59,Welfare Concern,Report,651 E Hopkins St
1.9E+11,11/10/19 20:18,Traffic Incident General,Blue Form Issue,1601 Francis Harris Ln
1.9E+11,11/10/19 23:59,Accident - Major/Injury,Report,Edward Gary/ Univeristy
1.9E+11,11/11/19 0:28,Pedestrian Stop,Verbal Warning,1101 Thorpe Ln
