"address_canonical","property_name","longitude","latitude","value","owner_name","owner_address_1","owner_address_2","owner_address_3","owner_city","owner_state","owner_zip","ownership_percent","year"
"512 CRADDOCK AVE, SAN MARCOS, TX  78666","THE RETREAT",-97.9630111,29.8936028,45971702,"ACC OP (RETREAT SM) LLC","PO BOX 530292",NA,NA,"MOUNTAIN BROOK","AL","35253-0292",100,"2019"
"518 LINDA DR, SAN MARCOS, TX  78666","THE NEST APTS",-97.9226659,29.8794219,5750000,"JOCO OFF 135 LP","1515 S CAPITAL OF TEXAS HWY","STE 411",NA,"AUSTIN","TX","78746-6951",100,"2019"
"520 LINDA DR, SAN MARCOS, TX  78666","TOWNWOOD APTS",-97.921717,29.879702,8693803,"TOWNWOOD PROPERTIES LLC","PO BOX 790645",NA,NA,"SAN ANTONIO","TX","78279-0645",100,"2019"
"527 W SAN ANTONIO ST, SAN MARCOS, TX  78666","POSEY HOUSE",-97.9456136,29.8796905,379070,"WEST SAN ANTONIO PARTNERS LTD","1801 CHALK ROCK CV",NA,NA,"AUSTIN","TX","78735-1733",100,"2019"
"530 W HOPKINS ST, SAN MARCOS, TX  78666","FIVE PLEX",-97.9472619,29.8818026,189230,"WIESKE WILLIAM & HUANG SHIOULING &","HUANG PO MING & TERRAZAS PATRICIA &","HUANG BOR FUEI","3500 LOHMAN FORD RD #27","LAGO VISTA","TX","78645",100,"2019"
"538 W HOPKINS ST, SAN MARCOS, TX  78666","THE GARDENS",-97.9474321,29.8812984,280580,"DIOCARES ENTERPRISES LLC","17704 LIMPIA CRK",NA,NA,"ROUND ROCK","TX","78664-7281",100,"2019"
"540 W HOPKINS ST, SAN MARCOS, TX  78666","THE GARDENS",-97.9476024,29.8811535,300190,"DIOCARES ENTERPRISES LLC","17704 LIMPIA CRK",NA,NA,"ROUND ROCK","TX","78664-7281",100,"2019"
"600 LEAH AVE, SAN MARCOS, TX  78666","THE WELLINGTON",-97.944405,29.857077,6355641,"GALVESTON VILLA MARINA LTD","% JAMES A BRANFIELD SR","161 W SHADOWBEND AVE #100",NA,"FRIENDSWOOD","TX","77546",100,"2019"
"601 RIVER RD, SAN MARCOS, TX  78666","RIVERVIEW APTS",-97.928003,29.873649,750992,"TANGLEWOOD II LLC","6600 HUNTER DR",NA,NA,"ROHNERT PARK","CA","94928",100,"2019"
"605 W HUTCHISON ST, SAN MARCOS, TX  78666","APARTMENTS 605",-97.9483259,29.8811547,1180243,"605 APARTMENTS LLC","26411 TOWNSHIP ST",NA,NA,"SANTA CLARITA","CA","91350-1864",100,"2019"
"613 W SAN ANTONIO ST, SAN MARCOS, TX  78666","HERNDON HOUSE APTS",-97.9462191,29.8793735,1384060,"SAN MARCOS APARTMENTS 36 LLC","13801 VENTURA BLVD",NA,NA,"SHERMAN OAKS","CA","91423",100,"2019"
"616 MLK DR, SAN MARCOS, TX  78666",NA,-97.945592,29.878843,922706,"SAN MARCOS APARTMENTS 36 LLC","13801 VENTURA BLVD",NA,NA,"SHERMAN OAKS","CA","91423",100,"2019"
"650 RIVER RD, SAN MARCOS, TX  78666","THE WOODS APTS",-97.9289843,29.8719247,42600000,"WOODS OF SAN MARCOS LLC","% SCION GROUP","444 N MICHIGAN AVE","STE 2600","CHICAGO","IL","60611-3998",100,"2019"
"705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,6063140,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2019"
"734 VALLEY ST, SAN MARCOS, TX  78666","ARMSTEAD ARMS APTS",-97.9456446,29.876018,102960,"ARMSTEAD, ALBERT L","1421 W HOPKINS ST",NA,NA,"SAN MARCOS","TX","78666",100,"2019"
"736 CENTRE ST, SAN MARCOS, TX  78666","CENTRE STREET VILLAS",-97.9462085,29.8768708,451837,"FB PROPERTIES LLC","PO BOX 705",NA,NA,"SAN MARCOS","TX","78667-0705",100,"2019"
"755 RIVER RD, SAN MARCOS, TX  78666","RIVER ROAD APARTMENTS",-97.9239504,29.8714978,1196670,"KAVI RIVER ROAD LLC","2101 BRICKELL AVE","APT 1106",NA,"MIAMI","FL","33129",100,"2019"
"800 N LBJ DR, SAN MARCOS, TX 78666","TREEHOUSE APTS",-97.9403982,29.8927837,10278591,"NEXT DOOR APART-SAN MARCOS LLC","10227 VIA BORICA",NA,NA,"RANCHO PALOS VERDES","CA","90275",100,"2019"
"810 N LBJ DR, SAN MARCOS, TX  78666","Iconic Village Apts.",-97.9413462,29.8935635,1223388,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100,"2019"
"817 CHESTNUT ST, SAN MARCOS, TX  78666","ELLA LOFTS",-97.9425165,29.8927522,21618315,"ELLA LOFTS FUNDING COMPANY LLC","8 S SERVICE RD","STE 120",NA,"MELVILLE","NY","11747",100,"2019"
"900 PEQUES, SAN MARCOS, TX  78666","TIMBERS APTS",-97.9364154,29.8929966,7217798,"TIMBERS CAPITAL PARTNERS LLC","12121 WILSHIRE BLVD","STE 700",NA,"LOS ANGELES","CA","90025-1168",100,"2019"
"906 N LBJ DR, SAN MARCOS, TX  78666","TWIN SEVILLE",-97.9416015,29.8944012,902680,"COFFEE CRAIG & WHITE WYNELLE W","102 W CANYON CIR",NA,NA,"AUSTIN","TX","78746-4646",100,"2019"
"LOOP 82, SAN MARCOS, TX  78666","BOBCAT VILLAGE",-97.9414809,29.8832665,558440,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2019"
"MILL ST, SAN MARCOS, TX  78666","BOBCAT VILLAGE",-97.9159986,29.8976193,3535560,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2019"
