"","address_canonical","property_name","longitude","latitude","value","owner_name","owner_address_1","owner_address_2","owner_address_3","owner_city","owner_state","owner_zip","ownership_percent","year"
"112","1975 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","THE LODGE AT SOUTHWEST",-97.9035037,29.8929924,25897125,"29SC LODGE LP","% 29TH STREET CAPITAL","ATTN: A JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100,"2018"
"113","600 LEAH AVE, SAN MARCOS, TX  78666","THE WELLINGTON",-97.944405,29.857077,5713398,"GALVESTON VILLA MARINA LTD","% JAMES A BRANFIELD SR","161 W SHADOWBEND AVE #100",NA,"FRIENDSWOOD","TX","77546",100,"2018"
"114","327 WOOD ST, SAN MARCOS, TX  78666","COMANCHE APTS",-97.9456899,29.8873424,2626840,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2018"
"115","1629 POST RD, SAN MARCOS, TX  78666","ELEVATION ON POST ROAD",-97.9169649,29.901945,2720004,"ARRIS SAN MARCOS ACQUISITION LLC","8902 CHATSWORTH DR",NA,NA,"HOUSTON","TX","77024-3710",100,"2018"
"116","1655 MILL ST, SAN MARCOS, TX  78666","WILDWOOD SAN MARCOS",-97.9147315,29.8994079,22648349,"VESPER WILDWOOD LLC","% VESPER HOLDINGS LLC","595 MADISON AVE","FL 37","NEW YORK","NY","10022-1641",100,"2018"
"117","1750/1754 RIVER RD, SAN MARCOS, TX  78666","RIVER RIDGE APTS",-97.908644,29.883319,1585866,"RIVER RIDGE LLC","9663 SANTA MONICA BLVD","# 462",NA,"BEVERLY HILLS","CA","90210-4303",100,"2018"
"118","1011 WONDER WORLD DR, SAN MARCOS, TX  78666","PALAZZO APTS",-97.9506411,29.8558844,14279875,"PALAZZO PARTNERS LP","1025 KANE CONCOURSE","STE 215",NA,"BAY HARBOR ISLANDS","FL","33154-2118",100,"2018"
"119","1111 N LBJ DR, SAN MARCOS, TX  78666","AUDREY OAKS APTS",-97.9439848,29.8952901,606516,"HOKE WARREN","225 CAMARO WAY",NA,NA,"SAN MARCOS","TX","78666-3035",100,"2018"
"120","1021 CHESTNUT ST, SAN MARCOS, TX  78666","CHESTNUT PLACE",-97.9444104,29.8944563,833155,"CHESTNUT PLACE LIMITED LLP","Attn: DENNIS J DUNN","2620 SUMMIT RIDGE DR",NA,"SAN MARCOS","TX","78666-4946",100,"2018"
"121","1011 N LBJ, SAN MARCOS, TX  78666","PEACHTREE LOFTS",-97.9437519,29.8950015,1444264,"FRY VENTURES LLC","DBA PEACHTREE LOFTS","23165 HANGING OAK",NA,"SAN ANTONIO","TX","78266",100,"2018"
"122","1811 MEDICAL PKWY, SAN MARCOS, TX  78666","PARKWAY GRANDE APTS",-97.9441713,29.8556579,19659459,"PARKWAY GRANDE LLC","1811 MEDICAL PKWY",NA,NA,"SAN MARCOS","TX","78666-7526",100,"2018"
"123","1629 POST RD, SAN MARCOS, TX  78666","ELEVATION ON POST ROAD",-97.9169649,29.901945,6659319,"ARRIS SAN MARCOS ACQUISITION LLC","8902 CHATSWORTH DR",NA,NA,"HOUSTON","TX","77024-3710",100,"2018"
"124","1623 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","SPRING WEST APTS",-97.9156461,29.8944815,2893723,"SM SPRING WEST LP","4709 HILLSBORO CIR",NA,NA,"SANTA ROSA","CA","95405-8776",100,"2018"
"125","315 A-H MILL ST, SAN MARCOS, TX  78666","VILLAGE SQUARE APTS",-97.9188173,29.8955216,27600,"JUHASZ, PROPERTIES","9710 CANEY CREEK DR",NA,NA,"SAN ANTONIO","TX","78245-1912",100,"2018"
"126","201 FIRST ST, SAN MARCOS, TX  78666","VILLAGE GREEN APTS",-97.918996,29.8972709,1782000,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100,"2018"
"127","201 FIRST ST, SAN MARCOS, TX  78666","VILLAGE GREEN APARTMENTS",-97.918996,29.8972709,940500,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100,"2018"
"128","201 FIRST ST, SAN MARCOS, TX  78666","VILLAGE GREEN APTS",-97.918996,29.8972709,2227500,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100,"2018"
"129","225 RAMSEY ST, SAN MARCOS, TX  78666","LOGAN RIDGE APTS",-97.9418781,29.897864,4856103,"225 LOGAN RIDGE LLC","210 BARTON SPRINGS RD",NA,NA,"AUSTIN","TX","78704-1214",100,"2018"
"130","1818 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","DAKOTA RANCH APTS",-97.969648,29.898018,14750000,"AGP DAKOTA OWNER LLC","370 LEXINGTON AVE","STE 607",NA,"NEW YORK","NY","10017",100,"2018"
"131","1150 RIVER RIDGE PKWY, SAN MARCOS, TX  78666","THE GROVE",-97.9006512,29.9030158,19456750,"CAMPUS CREST AT SAN MARCOS LP","- ASSET CAMPUS HOUSING","950 CORBINDALE RD","STE 300","HOUSTON","TX","77024-2849",100,"2018"
"132","755 RIVER RD, SAN MARCOS, TX  78666",NA,-97.9239504,29.8714978,326700,"HENDERSON MARK","17 JOHNSTON BLVD",NA,NA,"ASHEVILLE","NC","28806",100,"2018"
"133","745 RIVER RD, SAN MARCOS, TX  78666",NA,-97.924939,29.8712819,325390,"CRISLER ERIC","1508 W 30TH ST",NA,NA,"AUSTIN","TX","78703-1404",100,"2018"
"134","1900 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","RIVER OAKS VILLAS",-97.9046648,29.8904825,14502492,"ARV SAN MARCOS","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100,"2018"
"135","400 LINDA DR, SAN MARCOS, TX  78666","SUNDANCE APTS",-97.92484,29.878267,1266469,"ACA SUNDANCE LLC & KEN & JULIA SCHONE SPE LLC","% JAMES ROBERTO GATLIN","AUSTIN CAPITAL ADVISORS","401 CONGRESS AVE, STE 1540","AUSTIN","TX","78701",100,"2018"
"136","1647 POST RD, SAN MARCOS, TX  78666","THE OUTPOST APTS",-97.913717,29.904706,17380000,"ZCP OUTPOST LLC","1700 HILLSBOROUGH ST",NA,NA,"RALEIGH","NC","27605-1641",100,"2018"
"137","1651 POST RD, SAN MARCOS, TX  78666","THE MILLENIUM ON POST ROAD",-97.9119451,29.9061974,7263779,"1651 MILLENNIUM POST ROAD LLC","210 BARTON SPRINGS RD",NA,NA,"AUSTIN","TX","78704-1254",100,"2018"
"138","1249 N LBJ DR, SAN MARCOS, TX  78666","MONARCH APRAPTMENTS",-97.946283,29.8974861,642600,"SM MONARCH APT LP","1601 RIO GRANDE ST",NA,NA,"AUSTIN","TX","78701",100,"2018"
"139","1255 N LBJ DR, SAN MARCOS, TX  78666","ALEXIS SQUARE APTS",-97.9466235,29.8978696,303110,"PLOEGER, SALLY J","P O BOX 173",NA,NA,"SAN MARCOS","TX","78667-0173",100,"2018"
"140","214 E SAN ANTONIO, SAN MARCOS, TX  78666","LINDSEY LOFTS APTS",-97.9390694,29.8818698,1082086,"LINDSEY LOFTS LTD","P O BOX 91383",NA,NA,"AUSTIN","TX","78709-1383",100,"2018"
"141","1610 N IH 35, SAN MARCOS, TX  78666","UNIVERSITY HEIGHTS",-97.9070704,29.8944943,29700000,"1610 FRONTAGE ROAD LP","1460 WESTWOOD BLVD","STE 300",NA,"LOS ANGELES","CA","90024",100,"2018"
"142","MILL ST, SAN MARCOS, TX  78666","BOBCAT VILLAGE",-97.9159986,29.8976193,1122800,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2018"
"143","LOOP 82, SAN MARCOS, TX  78666","BOBCAT VILLAGE",-97.9414809,29.8832665,314120,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2018"
"144","MILL ST, SAN MARCOS, TX  78666","BOBCAT VILLAGE",-97.9159986,29.8976193,541440,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2018"
"146","2913 HUNTER RD, SAN MARCOS, TX  78666","SIENNA POINTE APTS",-97.9760668,29.8469761,17618840,"CAP AREA SIENNA POINTE HOLDINGS LLC","Attn: CAPITAL AREA HOUSING FINANCE CORP","4101 PARKSTONE HEIGHTS DR","STE 280","AUSTIN","TX","78746-7397",100,"2018"
"147","401 N FREDERICKSBURG ST, SAN MARCOS, TX  78666","VISTAS SAN MARCOS",-97.9433663,29.8852213,35630000,"ACC OP (VISTAS SAN MARCOS) LLC","Attn: AMERICAN CAMPUS COMM INC","12700 HILL COUNTRY BLVD","STE T-200","AUSTIN","TX","78738-6307",100,"2018"
"148","417 N COMANCHE ST, SAN MARCOS, TX  78666",NA,-97.9447296,29.8856146,16486646,"POINTE SAN MARCOS PARTNERS LP","4801 SPICEWOOD SPRINGS RD","STE 100",NA,"AUSTIN","TX","78759-8491",100,"2018"
"149","817 CHESTNUT ST, SAN MARCOS, TX  78666","ELLA LOFTS",-97.9425165,29.8927522,14009430,"SFG SAN MARCOS-I LLC","3414 PEACHTREE RD NE","STE 250",NA,"ATLANTA","GA","30326-1154",100,"2018"
"150","1348 THORPE LN, SAN MARCOS, TX  78666","SUMMIT APTS",-97.919577,29.889011,4938551,"SUMMIT SAN MARCOS LLC","24708 TRAVIS LAKESIDE CV",NA,NA,"SPICEWOOD","TX","78669-1442",100,"2018"
"151","512 CRADDOCK AVE, SAN MARCOS, TX  78666","THE RETREAT",-97.9630111,29.8936028,43405059,"ACC OP (RETREAT SM) LLC","PO BOX 530292",NA,NA,"BIRMINGHAM","AL","35253-0292",100,"2018"
"152","1354 THORPE LN, SAN MARCOS, TX  78666","UPTOWN SQUARE APTS",-97.9187292,29.8896171,35554124,"SAN MARCOS STUDENT LIVING DST","PO BOX 3666","ATTN: PROPERTY TAX DEPT",NA,"OAK BROOK","IL","60522-3666",100,"2018"
"153","520 LINDA DR, SAN MARCOS, TX  78666","TOWNWOOD APTS",-97.921717,29.879702,6747977,"TOWNWOOD PROPERTIES LLC","PO BOX 790645",NA,NA,"SAN ANTONIO","TX","78279-0645",100,"2018"
"154","1230 N LBJ DR, SAN MARCOS, TX  78666","HILL COUNTRY APTS",-97.944006,29.8973765,7136652,"SAN MARCOS GROSS FAMILY LP","4709 HILLSBORO CIR",NA,NA,"SANTA ROSA","CA","95405-8776",100,"2018"
"155","S IH 35, SAN MARCOS, TX  78666",NA,-97.7068201,30.3268578,52770,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST; 60TH FLR",NA,NA,"NEW YORK","NY","10019",50,"2018"
"156","S IH 35, SAN MARCOS, TX  78666",NA,-97.7068201,30.3268578,52770,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST","FL 60",NA,"NEW YORK","NY","10019",50,"2018"
"157","1506 S IH 35, SAN MARCOS, TX  78666","VILLAS AT WILLOW SPRINGS",-97.6896545,30.5222481,8853248,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST","FL 60",NA,"NEW YORK","NY","10019",50,"2018"
"158","1506 S IH 35, SAN MARCOS, TX  78666","VILLAS AT WILLOW SPRINGS",-97.6896545,30.5222481,8853248,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST; 60TH FLR",NA,NA,"NEW YORK","NY","10019",50,"2018"
"159","112 WEST AVE, SAN MARCOS, TX  78666","WESTFIELD APTS",-97.916029,29.8952218,1012033,"AHF-WESTFIELD LLC","5910 N CENTRAL EXPRESSWAY","STE 1310",NA,"DALLAS","TX","75206",100,"2018"
"160","109 WEST AVE, SAN MARCOS, TX  78666","UNIVERSITY SPRINGS APTS",-97.9175491,29.8950338,18688804,"29SC RESERVE LP","% 29TH STREET MANAGEMENT LLC","ATTN: JOHN PRICE","1301 CAPITAL OF TEXAS HWY; SUITE B-340","AUSTIN","TX","78746",100,"2018"
"162","112 WEST AVE, SAN MARCOS, TX  78666","WESTFIELD APTS",-97.916029,29.8952218,3638392,"AHF-WESTFIELD LLC","5910 N CENTRAL EXPRESSWAY","STE 1310",NA,"DALLAS","TX","75206",100,"2018"
"163","1409 BISHOP ST, SAN MARCOS, TX  78666","BISHOP CORNER APTS",-97.9663104,29.8834587,313450,"BISHOP'S CORNER LLC","PO BOX 825",NA,NA,"WIMBERLEY","TX","78676-0825",100,"2018"
"164","1410 MARLETON ST, SAN MARCOS, TX  78666",NA,-97.9653951,29.8790016,190170,"E & T REAL ESTATE LLC","142 CIMARRON PARK LOOP","STE A",NA,"BUDA","TX","78610-2837",100,"2018"
"165","1408 MARLETON ST, SAN MARCOS, TX  78666",NA,-97.9810845,29.8942825,51530,"P S MOHAN PROPERTIES I LLC","4200 GREEN VALLEY RD",NA,NA,"CIBOLO","TX","78108-1900",100,"2018"
"166","142 WINDMILL DR, SAN MARCOS, TX  78666","LARKSPUR TOWNHOMES",-97.9462051,29.8935085,1208831,"LARKSPUR, TOWNHOMES LTD","1360 PATTERSON RD",NA,NA,"AUSTIN","TX","78733-6501",100,"2018"
"167","109 WINDMILL, SAN MARCOS, TX  78666","WINDMILL PLAZA APTS",-97.945865,29.8948257,1982874,"WINDMILL, TOWNHOMES LTD","1360 PATTERSON RD",NA,NA,"AUSTIN","TX","78733-6501",100,"2018"
"168","142 WINDMILL DR, SAN MARCOS, TX  78666","Kenwood Townhomes",-97.9462051,29.8935085,725709,"WDRT, PARTNERS LTD","1360 PATTERSON RD",NA,NA,"AUSTIN","TX","78733-6501",100,"2018"
"169","650 RIVER RD, SAN MARCOS, TX  78666","THE WOODS APTS",-97.9289843,29.8719247,42567883,"WOODS OF SAN MARCOS LLC","% SCION GROUP","444 N MICHIGAN AVE","STE 2600","CHICAGO","IL","60611-3998",100,"2018"
"170","435 N COMANCHE ST, SAN MARCOS, TX  78666","LINDSEY OAKS APTS",-97.9447508,29.8860399,922385,"LINDSEY SQUARE LTD","% DUNN","2620 SUMMIT RIDGE DR",NA,"SAN MARCOS","TX","78666-4946",100,"2018"
"171","1740 RANCH ROAD 12, SAN MARCOS, TX  78666","The Edge Apts",-97.966951,29.8971873,20557471,"29SC EDGE LP","% 29TH STREET CAPITAL","ATTN: A. JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100,"2018"
"172","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"173","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"174","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"175","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"176","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"177","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"178","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"179","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"180","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"181","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"182","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"183","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"184","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"185","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"186","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"187","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"188","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"189","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"190","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
"191","705 W RIVER RD, SAN MARCOS, TX  78666","CURVE AT RIVER ROAD",-97.92543,29.870213,270831,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100,"2018"
