# of Units,Date,Description,Address,Location Type
1,2/9/18 1:37,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,2/9/18 2:13,"Fire in motor home, camper, recreational vehicle",385  Briarwood  ,Graded and cared-for plots of land
1,2/9/18 4:16,Dispatched & cancelled en route,1703 N IH 35  ,Multifamily dwellings
2,2/9/18 4:19,Motor vehicle accident with no injuries,1400  Hwy 123  ,Highway or divided highway
1,2/9/18 6:59,Motor vehicle accident with no injuries,  Hunter RD ,Highway or divided highway
1,2/9/18 7:58,"EMS call, excluding vehicle accident with injury",502  Patricia DR ,1 or 2 family dwelling
1,2/9/18 8:58,"EMS call, excluding vehicle accident with injury",317  Craddock AVE ,Multifamily dwellings
1,2/9/18 9:05,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
2,2/9/18 9:43,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,"24-hour care Nursing homes, 4 or more persons"
2,2/9/18 10:00,Gas leak (natural gas or LPG),  McKie ST ,"Residential street, road or residential driveway"
1,2/9/18 16:48,"EMS call, excluding vehicle accident with injury",109 E McCarty LN ,Athletic/health club
3,2/9/18 16:51,"Vehicle accident, general cleanup", S Guadalupe ST ,Street or road in commercial area
1,2/9/18 18:06,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,2/9/18 18:21,Motor vehicle accident with no injuries,  Loquat ST ,Street or road in commercial area
1,2/10/18 9:56,"Good intent call, other",900 N IH 35  ,Street or road in commercial area
3,2/10/18 11:08,Passenger vehicle fire,1015  Hwy 80  ,Vehicle parking area
1,2/10/18 13:59,"EMS call, excluding vehicle accident with injury",79  Elm Hill CT ,1 or 2 family dwelling
1,2/10/18 16:29,Vehicle accident with injuries,  Roosevelt ST ,Street or road in commercial area
1,2/10/18 18:53,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/11/18 0:37,"EMS call, excluding vehicle accident with injury",130  Jackson LN ,Multifamily dwellings
1,2/11/18 2:36,"EMS call, excluding vehicle accident with injury",  Thorpe LN ,Street or road in commercial area
0,2/11/18 4:37,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,2/11/18 6:30,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/11/18 7:48,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,2/11/18 8:19,"EMS call, excluding vehicle accident with injury",1580  Old Ranch Road 12  ,1 or 2 family dwelling
1,2/11/18 11:59,"Water problem, other",1250  Sadler DR ,Multifamily dwellings
1,2/11/18 16:47,"Cover assignment, standby, moveup",1807  Airport DR ,Vehicle parking area
1,2/11/18 16:55,Animal rescue,1201  Thorpe LN ,1 or 2 family dwelling
3,2/11/18 17:14,Vehicle accident with injuries,  Centerpoint RD ,Highway or divided highway
1,2/11/18 17:56,"Medical assist, assist EMS crew",2131 N IH 35  ,"Hotel/motel, commercial"
1,2/11/18 18:42,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/11/18 18:44,"EMS call, excluding vehicle accident with injury",1445  Highland DR ,1 or 2 family dwelling
2,2/11/18 18:46,"Lock-in (if lock out , use 511 )",1951  Aquarena Springs DR ,Multifamily dwellings
2,2/11/18 19:10,"EMS call, excluding vehicle accident with injury",1241 W Hopkins ST ,1 or 2 family dwelling
1,2/11/18 23:49,"EMS call, excluding vehicle accident with injury",126  Algarita RD ,1 or 2 family dwelling
0,2/12/18 2:31,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,2/12/18 6:00,"EMS call, excluding vehicle accident with injury",1110  Advance ST ,Multifamily dwellings
2,2/12/18 9:02,"EMS call, excluding vehicle accident with injury",1637  Post RD ,Multifamily dwellings
1,2/12/18 10:12,Motor vehicle accident with no injuries, W MLK DR ,Street or road in commercial area
4,2/12/18 11:58,Hazmat release investigation w/ no hazmat,3939 S IH 35  ,Vehicle parking area
1,2/12/18 16:13,"EMS call, excluding vehicle accident with injury",1941 S IH 35  ,"Doctor, dentist or oral surgeon's office"
3,2/12/18 17:09,Vehicle accident with injuries,197  Sb35 IH ,Highway or divided highway
1,2/12/18 18:16,Motor vehicle accident with no injuries, S LBJ DR ,Street or road in commercial area
1,2/12/18 20:51,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,Multifamily dwellings
1,2/12/18 21:29,Lock-out,204  Moore ST ,Vehicle parking area
1,2/13/18 4:04,"EMS call, excluding vehicle accident with injury",603 S LBJ DR ,Multifamily dwellings
2,2/13/18 7:48,Vehicle accident with injuries,  Hwy 21  ,Highway or divided highway
1,2/13/18 11:04,"EMS call, excluding vehicle accident with injury",1611  Mockingbird DR ,1 or 2 family dwelling
1,2/13/18 12:45,"EMS call, excluding vehicle accident with injury",3939 S IH 35  ,Department or discount store
1,2/13/18 13:43,"EMS call, excluding vehicle accident with injury",110  Willow Springs DR ,"Clinics, Doctors offices, hemodialysis centers"
1,2/13/18 13:54,"Medical assist, assist EMS crew",200 W Hopkins ST ,Vehicle parking area
1,2/13/18 14:44,"EMS call, excluding vehicle accident with injury",630 N Lbj DR ,"Adult education center, college classroom"
1,2/13/18 19:34,Motor vehicle accident with no injuries,900  Old Ranch Road 12  ,"Residential street, road or residential driveway"
2,2/13/18 19:56,Vehicle accident with injuries,207  SB  ,Highway or divided highway
1,2/13/18 21:47,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,"Manufacturing, processing"
1,2/14/18 0:46,"EMS call, excluding vehicle accident with injury",715  Willow Ridge DR ,1 or 2 family dwelling
1,2/14/18 1:19,"Good intent call, other",201  Telluride ST ,Multifamily dwellings
2,2/14/18 9:00,"EMS call, excluding vehicle accident with injury",127  Wisteria WAY ,1 or 2 family dwelling
3,2/14/18 13:53,Chemical hazard (no spill or leak),120  Old Main DR ,"Adult education center, college classroom"
2,2/14/18 14:52,"EMS call, excluding vehicle accident with injury",1951  Hunter RD ,"Bridge, trestle"
1,2/14/18 15:30,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
1,2/14/18 17:27,Vehicle accident with injuries,1800  Old Ranch Road 12  ,Highway or divided highway
1,2/14/18 18:50,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
3,2/14/18 20:01,Motor vehicle accident with no injuries,198  SB  ,Highway or divided highway
6,2/14/18 21:22,"Smoke scare, odor of smoke",1012  Barbara DR ,1 or 2 family dwelling
1,2/15/18 0:57,"EMS call, excluding vehicle accident with injury",1001  Hwy 123  ,Restaurant or cafeteria
1,2/15/18 3:31,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,2/15/18 5:38,Alarm system sounded due to malfunction,701  Moore ST ,"Barracks, dormitory"
1,2/15/18 7:31,"EMS call, excluding vehicle accident with injury",1109  San Marcos PKWY ,Multifamily dwellings
1,2/15/18 11:52,"EMS call, excluding vehicle accident with injury",2951  Blanco Vista BLVD ,"Elementary school, including kindergarten"
1,2/15/18 12:08,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/15/18 15:30,"EMS call, excluding vehicle accident with injury",202  Old Main DR ,"Adult education center, college classroom"
1,2/15/18 15:54,"EMS call, excluding vehicle accident with injury",518 S Guadalupe ST ,"Dormitory type residence, other"
1,2/15/18 15:56,Hazmat release investigation w/ no hazmat,550  Barnes DR ,Highway or divided highway
3,2/15/18 16:55,Public service,222  Ramsay ST ,1 or 2 family dwelling
3,2/15/18 17:41,Vehicle accident with injuries,  Thorpe LN ,Street or road in commercial area
1,2/15/18 17:53,"EMS call, excluding vehicle accident with injury",202  Old Main DR ,"Adult education center, college classroom"
1,2/15/18 20:00,"Medical assist, assist EMS crew",1619 N IH 35  ,"Hotel/motel, commercial"
1,2/15/18 22:59,"Medical assist, assist EMS crew",1307  Uhland RD ,Vehicle parking area
1,2/15/18 23:04,"EMS call, excluding vehicle accident with injury",308  Laredo ST ,1 or 2 family dwelling
1,2/16/18 9:50,Motor vehicle accident with no injuries,  Craddock AVE ,Street or road in commercial area
1,2/16/18 10:08,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
2,2/16/18 11:56,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,2/16/18 12:08,"EMS call, excluding vehicle accident with injury",10  Tanglewood TRL ,1 or 2 family dwelling
1,2/16/18 12:26,"EMS call, excluding vehicle accident with injury",705  River RD ,Multifamily dwellings
2,2/16/18 14:49,Animal rescue,1506 S IH 35  ,Multifamily dwellings
1,2/16/18 19:23,Removal of victim(s) from stalled elevator,951  Moore ST ,Multifamily dwellings
1,2/16/18 19:29,"EMS call, excluding vehicle accident with injury",225  Charles Austin DR ,"Stadium, arena"
1,2/16/18 19:43,EMS: Dispatched & cancelled en route,1401  Wonder World DR ,1 or 2 family dwelling
1,2/16/18 22:42,"Carbon monoxide detector activation, no CO",209  Lake GLN ,1 or 2 family dwelling
1,2/17/18 1:04,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,2/17/18 2:49,"EMS call, excluding vehicle accident with injury",801  River RD ,Multifamily dwellings
1,2/17/18 11:37,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
1,2/17/18 13:12,Unauthorized burning,700  Mountain View DR ,Graded and cared-for plots of land
1,2/17/18 13:31,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,2/17/18 14:22,Public service,1500 S IH 35  ,Highway or divided highway
1,2/17/18 14:44,"EMS call, excluding vehicle accident with injury",1350  Sadler DR ,Multifamily dwellings
2,2/17/18 18:50,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,2/17/18 19:44,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/17/18 20:40,"Trash or rubbish fire, contained",714 N Comanche ST ,Vehicle parking area
2,2/17/18 21:18,Dispatched & cancelled en route,1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/17/18 22:37,Assist police or other governmental agency,701 S LBJ DR ,Street or road in commercial area
1,2/18/18 2:58,Dispatched & cancelled en route,801  River RD ,1 or 2 family dwelling
1,2/18/18 10:39,"EMS call, excluding vehicle accident with injury",1580  Old Ranch Road 12  ,1 or 2 family dwelling
2,2/18/18 10:49,Motor vehicle accident with no injuries,105 N IH 35  ,Street or road in commercial area
1,2/18/18 13:03,"EMS call, excluding vehicle accident with injury",701  Bracewood CIR ,Multifamily dwellings
1,2/18/18 18:07,"EMS call, excluding vehicle accident with injury",211  Valero DR ,1 or 2 family dwelling
1,2/18/18 19:53,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/18/18 22:10,"EMS call, excluding vehicle accident with injury",1309  Christopher ST ,1 or 2 family dwelling
1,2/18/18 22:24,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/18/18 23:26,"EMS call, excluding vehicle accident with injury",302  Student Center DR ,"Dormitory type residence, other"
1,2/19/18 5:46,Assist invalid,1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,2/19/18 6:56,"EMS call, excluding vehicle accident with injury",411  Wavell ST ,1 or 2 family dwelling
1,2/19/18 8:57,"EMS call, excluding vehicle accident with injury",1631  Aquarena Springs DR ,Multifamily dwellings
1,2/19/18 9:04,"EMS call, excluding vehicle accident with injury",2951  Blanco Vista BLVD ,"Elementary school, including kindergarten"
1,2/19/18 12:19,"Good intent call, other",  Aquarena Springs DR ,Street or road in commercial area
3,2/19/18 14:05,Motor vehicle accident with no injuries, E Access RD ,Street or road in commercial area
1,2/19/18 14:43,"EMS call, excluding vehicle accident with injury",430  Moon ST ,"Adult education center, college classroom"
1,2/19/18 14:53,"Medical assist, assist EMS crew",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,2/19/18 15:55,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/19/18 19:50,"Medical assist, assist EMS crew",503  Springtown WAY ,Multifamily dwellings
1,2/19/18 20:17,"Medical assist, assist EMS crew",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/19/18 22:14,"EMS call, excluding vehicle accident with injury",1121  Burleson ST ,1 or 2 family dwelling
4,2/19/18 22:21,Building fire,1510  Old Martindale RD ,None
1,2/20/18 5:42,"Medical assist, assist EMS crew",2600  Hunter RD ,Multifamily dwellings
1,2/20/18 6:19,"EMS call, excluding vehicle accident with injury",200 W Hopkins ST ,Vehicle parking area
4,2/20/18 10:44,Chemical spill or leak,500 E McCarty LN ,Outside storage tank
2,2/20/18 14:28,"EMS call, excluding vehicle accident with injury",155  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
2,2/20/18 15:30,"Smoke detector activation, no fire - unintentional",2  Timbercrest  ,1 or 2 family dwelling
1,2/20/18 16:57,Vehicle accident with injuries,  3400blkHunter Rd  ,Street or road in commercial area
1,2/20/18 19:21,"Medical assist, assist EMS crew",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/20/18 21:54,"Medical assist, assist EMS crew",1301  Aquarena Springs DR ,Multifamily dwellings
1,2/20/18 23:10,Alarm system sounded due to malfunction,210 N Edward Gary ST ,Multifamily dwellings
2,2/21/18 0:19,Assist police or other governmental agency,210  NB  ,Highway or divided highway
1,2/21/18 0:24,"EMS call, excluding vehicle accident with injury",119  Blanco ST ,1 or 2 family dwelling
2,2/21/18 2:05,Motor vehicle accident with no injuries,202  SB  ,Highway or divided highway
1,2/21/18 7:09,"Medical assist, assist EMS crew",1017  Mountain View DR ,1 or 2 family dwelling
2,2/21/18 9:21,"EMS call, excluding vehicle accident with injury",120  Old Main DR ,"Adult education center, college classroom"
1,2/21/18 9:25,"EMS call, excluding vehicle accident with injury",1613  Mockingbird DR ,1 or 2 family dwelling
1,2/21/18 10:15,"EMS call, excluding vehicle accident with injury",107  Hopping Peach CV ,1 or 2 family dwelling
3,2/21/18 11:33,Motor vehicle accident with no injuries,209  SB  ,Highway or divided highway
1,2/21/18 11:51,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,2/21/18 12:03,"EMS call, excluding vehicle accident with injury",806  Perkins ST ,1 or 2 family dwelling
2,2/21/18 13:57,"EMS call, excluding vehicle accident with injury",1811  Medical PKWY ,Multifamily dwellings
1,2/21/18 14:32,"EMS call, excluding vehicle accident with injury",1941 S IH 35  ,"Clinic, clinic-type infirmary"
1,2/21/18 14:34,"EMS call, excluding vehicle accident with injury",250  Old Main DR ,"Adult education center, college classroom"
1,2/21/18 15:21,"Medical assist, assist EMS crew",503  Springtown WAY ,Multifamily dwellings
2,2/21/18 18:23,Police matter,204  NB  ,Highway or divided highway
1,2/21/18 19:45,"EMS call, excluding vehicle accident with injury",2217  Garden CT ,1 or 2 family dwelling
3,2/21/18 20:05,Motor vehicle accident with no injuries,206  SB  ,Highway or divided highway
1,2/21/18 20:11,"EMS call, excluding vehicle accident with injury",126  Algarita RD ,1 or 2 family dwelling
1,2/21/18 20:11,"EMS call, excluding vehicle accident with injury",1000  Columbia AVE ,1 or 2 family dwelling
1,2/21/18 21:41,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
2,2/22/18 7:46,Motor vehicle accident with no injuries, W Sessom DR ,Street or road in commercial area
2,2/22/18 8:04,Vehicle accident with injuries,  Del Sol DR ,Highway or divided highway
1,2/22/18 9:33,"EMS call, excluding vehicle accident with injury",707  Barbara DR ,1 or 2 family dwelling
1,2/22/18 10:12,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
3,2/22/18 11:14,"Cooking fire, confined to container",1230 N LBJ DR ,Multifamily dwellings
1,2/22/18 11:38,Removal of victim(s) from stalled elevator,712 S Stagecoach TRL ,"Public or government, other"
2,2/22/18 13:30,"Accident, potential accident, other",202  SB  ,Highway or divided highway
1,2/22/18 15:18,"EMS call, excluding vehicle accident with injury",401  Carlson CIR ,Business office
2,2/22/18 16:20,"Good intent call, other", E Hopkins ST ,Vehicle parking area
1,2/22/18 17:19,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,2/22/18 18:25,"False alarm or false call, other",120  Bert Brown RD ,"Reformatory, juvenile detention center"
1,2/22/18 19:59,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,2/22/18 22:28,"Medical assist, assist EMS crew",1101 E River Ridge PKWY ,Multifamily dwellings
1,2/22/18 22:43,"EMS call, excluding vehicle accident with injury",129 E Hopkins ST ,Vehicle parking area
1,2/23/18 0:13,"Medical assist, assist EMS crew",1413  Harper DR ,1 or 2 family dwelling
1,2/23/18 0:40,"EMS call, excluding vehicle accident with injury",312  University DR ,Vehicle parking area
1,2/23/18 0:45,"EMS call, excluding vehicle accident with injury",319  Smith LN ,1 or 2 family dwelling
2,2/23/18 1:16,Motor vehicle accident with no injuries,500  Franklin DR ,"Residential street, road or residential driveway"
1,2/23/18 2:38,"Medical assist, assist EMS crew",1536 W Hopkins ST ,1 or 2 family dwelling
1,2/23/18 3:59,Motor vehicle accident with no injuries,  Uhland RD ,"Residential street, road or residential driveway"
2,2/23/18 5:39,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
3,2/23/18 5:46,No incident found on arrival at dispatch address,206  EXIT 205 NB  ,Highway or divided highway
2,2/23/18 5:56,"Good intent call, other",199  NB  ,Highway or divided highway
1,2/23/18 6:47,Motor vehicle accident with no injuries,204  Sb35 IH ,Highway or divided highway
1,2/23/18 7:43,Alarm system sounded due to malfunction,120  Bert Brown RD ,"Asylum, mental institution"
1,2/23/18 11:46,Motor vehicle accident with no injuries,600  Wonder World DR ,Street or road in commercial area
1,2/23/18 12:12,"Medical assist, assist EMS crew",321 N LBJ DR ,Street or road in commercial area
2,2/23/18 12:14,Vehicle accident with injuries,  Hwy 80  ,Highway or divided highway
1,2/23/18 15:05,"Medical assist, assist EMS crew",1619 N IH 35  ,"Hotel/motel, commercial"
1,2/23/18 17:25,Dispatched & cancelled en route,111  Salerno DR ,1 or 2 family dwelling
1,2/23/18 18:37,"Medical assist, assist EMS crew",420  North ST ,Vehicle parking area
1,2/23/18 18:43,Alarm system sounded due to malfunction,310 W Hutchison ST ,"Church, mosque, synagogue, temple, chapel"
3,2/23/18 18:51,Vehicle accident with injuries,204  NB  ,Highway or divided highway
1,2/23/18 18:55,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,2/23/18 20:33,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
2,2/23/18 21:15,Overheated motor,109  West AVE ,Multifamily dwellings
1,2/24/18 2:19,Motor vehicle accident with no injuries, N Bishop ST ,Street or road in commercial area
1,2/24/18 6:05,Alarm system sounded due to malfunction,417 N Comanche ST ,Multifamily dwellings
1,2/24/18 7:49,"EMS call, excluding vehicle accident with injury",601  River RD ,Multifamily dwellings
1,2/24/18 14:38,"EMS call, excluding vehicle accident with injury",3941 S IH 35  ,"Parking garage, general vehicle"
1,2/24/18 19:27,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Multifamily dwellings
1,2/24/18 19:52,Vehicle accident with injuries,  Post RD ,Street or road in commercial area
2,2/24/18 20:35,"Smoke detector activation, no fire - unintentional",120  Bert Brown RD ,Mental retardation/development disability facility
1,2/24/18 21:08,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
1,2/24/18 23:12,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
2,2/25/18 0:01,Motor vehicle accident with no injuries,207  NB  ,Highway or divided highway
1,2/25/18 4:02,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,2/25/18 8:19,"Alarm system sounded, no fire - unintentional",2809 S IH 35  ,Warehouse
1,2/25/18 11:24,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,2/25/18 11:30,"Public service assistance, other",1201  Thorpe LN ,1 or 2 family dwelling
1,2/25/18 16:46,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
1,2/25/18 18:44,"EMS call, excluding vehicle accident with injury",105 N IH 35  ,Vehicle parking area
1,2/25/18 18:50,Vehicle accident with injuries, W San Antonio ST ,Street or road in commercial area
1,2/25/18 20:30,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,2/25/18 20:59,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,2/25/18 21:50,"EMS call, excluding vehicle accident with injury",211  Ebony ST ,1 or 2 family dwelling
1,2/25/18 22:25,Public service,1201  Thorpe LN ,1 or 2 family dwelling
1,2/26/18 2:33,"Medical assist, assist EMS crew",711  Georgia ST ,1 or 2 family dwelling
1,2/26/18 2:36,Assist invalid,1920  Los Santos DR ,1 or 2 family dwelling
1,2/26/18 5:40,"EMS call, excluding vehicle accident with injury",1112  Faris ST ,1 or 2 family dwelling
1,2/26/18 7:07,Assist police or other governmental agency,200 E Access RD ,Highway or divided highway
2,2/26/18 7:41,"Alarm system sounded, no fire - unintentional",1000  Technology WAY ,"Manufacturing, processing"
1,2/26/18 8:01,Smoke detector activation due to malfunction,1800  Post RD ,Multifamily dwellings
1,2/26/18 9:32,Vehicle accident with injuries,  Roosevelt ST ,Highway or divided highway
2,2/26/18 10:23,"EMS call, excluding vehicle accident with injury",306  Field Corn LN ,1 or 2 family dwelling
1,2/26/18 15:23,"EMS call, excluding vehicle accident with injury",118  Riviera ST ,1 or 2 family dwelling
1,2/26/18 15:35,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,2/26/18 19:31,Dispatched & cancelled en route,202  Xavier DR ,1 or 2 family dwelling
1,2/26/18 20:07,Motor vehicle accident with no injuries,625 E Hopkins ST ,Street or road in commercial area
1,2/26/18 22:19,"Arcing, shorted electrical equipment",1200  Old Ranch Road 12  ,Electrical distribution
1,2/27/18 0:33,"EMS call, excluding vehicle accident with injury",1321 N IH 35  ,"Hotel/motel, commercial"
1,2/27/18 1:40,No incident found on arrival at dispatch address,1300  Hwy 80  ,Open land or field
1,2/27/18 1:43,"Alarm system sounded, no fire - unintentional",650  River RD ,Multifamily dwellings
1,2/27/18 9:36,Motor vehicle accident with no injuries, W Sessom DR ,Street or road in commercial area
1,2/27/18 9:39,"EMS call, excluding vehicle accident with injury",126  Algarita RD ,1 or 2 family dwelling
3,2/27/18 11:04,Motor vehicle accident with no injuries,1400 N IH 35  ,Street or road in commercial area
2,2/27/18 15:57,Vehicle accident with injuries,  Hwy 123  ,Highway or divided highway
1,2/27/18 16:22,"Good intent call, other",204  NB  ,Highway or divided highway
1,2/27/18 16:50,"EMS call, excluding vehicle accident with injury",1518  Old Ranch Road 12  ,Multifamily dwellings
1,2/27/18 19:22,Motor vehicle accident with no injuries,  Thorpe LN ,Street or road in commercial area
1,2/27/18 19:26,"EMS call, excluding vehicle accident with injury",415  North ST ,1 or 2 family dwelling
1,2/27/18 20:22,"EMS call, excluding vehicle accident with injury",218  Parker DR ,1 or 2 family dwelling
1,2/27/18 20:39,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
0,2/27/18 20:53,"EMS call, excluding vehicle accident with injury",1536 W Hopkins ST ,1 or 2 family dwelling
1,2/27/18 21:20,Police matter,  Post RD ,Street or road in commercial area
1,2/28/18 0:25,Building or structure weakened or collapsed,1611 N IH 35  ,"Hotel/motel, commercial"
2,2/28/18 0:57,"Sprinkler activation, no fire - unintentional",350  North ST ,Multifamily dwellings
1,2/28/18 2:39,"EMS call, excluding vehicle accident with injury",831 W MLK DR ,1 or 2 family dwelling
1,2/28/18 3:06,"EMS call, excluding vehicle accident with injury",2913  Hunter RD ,Multifamily dwellings
1,2/28/18 3:47,"False alarm or false call, other",1942 S IH 35  ,"Manufacturing, processing"
1,2/28/18 9:40,"Medical assist, assist EMS crew",2600  Hunter RD ,Multifamily dwellings
1,2/28/18 9:56,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,2/28/18 13:01,No incident found on arrival at dispatch address,1900  Aquarena Springs DR ,Multifamily dwellings
2,2/28/18 13:50,Vehicle accident with injuries, N Edward Gary ST ,Street or road in commercial area
2,2/28/18 15:44,Grass fire,  Hwy 80  ,Highway or divided highway
2,2/28/18 16:01,"Medical assist, assist EMS crew",1015  Hwy 80  ,"General retail, other"
1,2/28/18 17:18,Motor vehicle accident with no injuries,1100 W Hopkins ST ,"Residential street, road or residential driveway"
1,2/28/18 17:35,"EMS call, excluding vehicle accident with injury",105  Pickard ST ,"Adult education center, college classroom"
2,2/28/18 17:43,Vehicle accident with injuries,  Willow Springs DR ,Street or road in commercial area
1,2/28/18 19:15,Dispatched & cancelled en route,100  Yarrington RD ,"Residential street, road or residential driveway"
3,2/28/18 22:36,Bomb scare - no bomb,1301  Hwy 123  ,High school/junior high school/middle school
1,3/1/18 4:12,Alarm system sounded due to malfunction,1271  Sadler DR ,Multifamily dwellings
1,3/1/18 6:11,"EMS call, excluding vehicle accident with injury",811 S Guadalupe ST ,"Hotel/motel, commercial"
1,3/1/18 8:09,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,3/1/18 11:47,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,3/1/18 13:19,Vehicle accident with injuries,202  NB  ,Highway or divided highway
2,3/1/18 13:22,Motor vehicle/pedestrian accident (MV Ped), N Edward Gary ST ,Street or road in commercial area
1,3/1/18 14:14,"EMS call, excluding vehicle accident with injury",650  River RD ,Multifamily dwellings
1,3/1/18 20:10,"EMS call, excluding vehicle accident with injury",1047  Sycamore ST ,1 or 2 family dwelling
2,3/1/18 20:16,Motor vehicle accident with no injuries,206  SB  ,Highway or divided highway
1,3/2/18 9:22,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,3/2/18 9:25,"Sprinkler activation, no fire - unintentional",1250  Wonder World DR ,Movie theater
1,3/2/18 12:27,Gas leak (natural gas or LPG),1915  Gibraltar DR ,Graded and cared-for plots of land
1,3/2/18 12:58,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
1,3/2/18 14:04,"EMS call, excluding vehicle accident with injury",118 S Edward Gary ST ,Vehicle parking area
2,3/2/18 15:35,Motor vehicle accident with no injuries,900 N IH 35  ,Street or road in commercial area
2,3/2/18 16:57,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
3,3/2/18 17:24,Motor vehicle accident with no injuries, S C M Allen PKWY ,Highway or divided highway
1,3/2/18 19:31,"Medical assist, assist EMS crew",1975  Aquarena Springs DR ,Multifamily dwellings
2,3/3/18 3:35,Alarm system sounded due to malfunction,400  Barnes DR ,Warehouse
4,3/3/18 4:04,Vehicle accident with injuries,198  SB  ,Highway or divided highway
1,3/3/18 6:31,"Mobile property (vehicle) fire, other",2826  Rr 12  ,Highway or divided highway
